Fish_ID,Cohort,Treatment_Level,Experiment_Type,Total_Length,Standard_Length,Height,Weight,DB_Bites,CB_Bites,DE_Bites,CE_Bites,DB_Mass,CB_Mass,DE_Mass,CE_Mass
NL3,NA,12,Both,12.9,10.9,4.8,41.53,209,15,5,7,1.13,0.13,0.21,0.37
NL4,NA,6,Both,12.6,10.9,5.1,38.83,14,227,61,275,0.01,1.37,0.12,0.62
NL5,NA,9,Both,15.8,13.6,6.2,84.31,19,2,61,24,0.1,0.04,0.45,0.17
NL6,1,6,Both,12.6,10.8,5.1,39.24,0,0,0,0,0.05,0,0.16,-0.11
NL7,1,6,Both,11.1,9.9,4.4,26.3,25,13,81,76,0.04,0.06,0.14,0.53
NL8,1,6,Both,11.7,10,4.4,32.64,0,0,0,0,0.06,0.16,-0.01,-0.04
NL9,1,6,Both,10.5,8.9,4.2,23.72,0,0,73,0,0.13,0.08,0.64,-0.08
NL10,2,9,Both,12.3,10.5,5,37.06,174,99,22,15,0.24,0.15,0.08,0.06
NL11,2,9,Both,10.7,9.1,4.2,26.21,56,17,26,13,0.16,-0.01,0.07,0.03
NL12,2,9,Both,10.4,8.8,4.1,21.95,64,8,15,3,0.19,-0.12,0.23,0.19
NL13,3,12,Both,10.3,8.7,4.1,21.23,0,0,0,0,0.15,0.11,0.12,0.04
NL14,3,12,Both,11.1,9.7,4.2,26.75,39,2,81,99,1.64,-0.52,-0.14,0.08
NL15,3,12,Both,10.3,8.8,4.3,19.86,40,60,19,7,0.34,0.38,0.1,0.1
NL16,4,6,Both,11.8,10.1,4.8,31.72,0,0,0,0,0.05,0.14,0.05,0.02
NL17,4,6,Both,12.8,10.9,5.1,39.93,0,0,0,0,0.03,-0.08,0.03,0.04
NL18,5,9,Both,10.7,9.1,4.2,21.55,8,34,18,20,0.12,0.17,0.14,0.19
NL19,5,9,Both,13.1,11.3,5.2,44.45,18,17,3,6,0.09,0.14,0.11,0.08
NL20,5,9,Both,12.5,10.9,5.2,37.27,51,129,4,46,0.32,0.38,0,0.91
NL21,6,6,Both,11.6,9.9,4.7,30.62,132,48,25,5,0.54,0.15,0.33,0.34
NL22,6,6,Both,11.9,10.1,4.8,32.02,106,106,4,6,0.1,0.2,0.14,0.27
NL23,6,9,Both,13.9,12,5.3,55.57,0,0,0,0,0.08,0.04,0.11,0.11
NL24,7,12,Both,13.2,11.4,5.4,45.42,81,107,100,43,0.4,0.14,0.21,0.14
NL25,7,12,Both,13,11.1,5,38.41,3,88,9,38,0.05,0.13,0,0.09
